gtn1,gtn2,polygons,area_ha
Badan Air,Semula Jadi,228,908.46
Badan Air,Buatan,58,52.77
Badan Air,Semulajadi,12,37.28
Hutan,Hutan Simpan Kekal,71,18130.32
Industri,Taman Perindustrian,1084,630.79
Industri,Perlombongan/Kuari,129,492.74
Industri,Bukan Taman Perindustrian,347,400.62
Infrastruktur dan Utiliti,Bekalan Elektrik,325,157.51
Infrastruktur dan Utiliti,Pengairan dan Perparitan,122,148.68
Infrastruktur dan Utiliti,Pelupusan Sisa Pepejal,4,58.09
Infrastruktur dan Utiliti,Bekalan Gas dan Petroleum,3,54.74
Infrastruktur dan Utiliti,Pembetungan,95,38.49
Infrastruktur dan Utiliti,Bekalan Air,81,34.19
Infrastruktur dan Utiliti,Telekomunikasi,11,4.71
Institusi dan Kemudahan Masyarakat,Pendidikan,172,365.77
Institusi dan Kemudahan Masyarakat,Keselamatan,31,192.33
Institusi dan Kemudahan Masyarakat,Perkuburan,56,107.21
Institusi dan Kemudahan Masyarakat,Keagamaan,207,69.4
Institusi dan Kemudahan Masyarakat,Kegunaan Kerajaan/Badan Berkanun,101,56.68
Institusi dan Kemudahan Masyarakat,Kesihatan,35,40.58
Institusi dan Kemudahan Masyarakat,Kemudahan Awam,82,15.63
Institusi dan Kemudahan Masyarakat,Rumah Kebajikan,4,2.63
Institusi dan Kemudahan Masyarakat,Rumah Persatuan / Pertubuhan,1,0.73
Komersial,Teres,7571,201.8
Komersial,Kegunaan Khusus,629,163.98
Komersial,Bangunan Sesebuah,139,40.25
Komersial,Pembangunan Penggunaan Bercampur,1,1.03
Komersial,Berkembar,16,0.42
Pengangkutan,Jalan,1121,2763.74
Pengangkutan,Pengangkutan Darat,184,14.14
Pertanian,Tanaman,14508,44095.25
Pertanian,Penternakan,67,161.83
Pertanian,Akuakultur,54,69.8
Perumahan,Kampung,6432,2874.37
Perumahan,Perumahan Bukan Strata,73119,1539.55
Perumahan,Perumahan Strata,937,41.25
Tanah Kosong,Tanah Tidak Diusahakan,5201,1446.06
Tanah Kosong,Tanah Pembangunan,4927,1039.34
Tanah Lapang dan Rekreasi,Tanah Lapang,579,296.24
Tanah Lapang dan Rekreasi,Kawasan Hijau,52,47.17
Tanah Lapang dan Rekreasi,Kemudahan Sukan dan Rekreasi,14,13.96
